id,PlayerName,DraftAge_norm,country_group,Height_norm,Weight_norm,Position,DraftYear,Overall,CSS_rank_norm,rs_GP_norm,rs_G_norm,rs_A_norm,rs_P_norm,rs_PIM_norm,rs_PlusMinus_norm,po_GP_norm,po_G_norm,po_A_norm,po_P_norm,po_PIM_norm,sum_7yr_GP,sum_7yr_TOI,GP_greater_than_0
60904,"Matthew Mcrae",0.07142857142857142,CAN,0.35714285714285715,0.19230769230769232,C,2000,147,0.40476190476190477,0.34444444444444444,0.1095890410958904,0.1568627450980392,0.1518987341772152,0.04592901878914405,0.552,0,0,0,0,0,0,0,no
60905,"Tyler Kolarik",0.07142857142857142,USA,0.21428571428571427,0.3173076923076923,C,2000,150,0.30952380952380953,0,0,0,0,0,0.552,0,0,0,0,0,0,0,no
60906,"Alexander Barkunov",0.07142857142857142,EURO,0.42857142857142855,0.40384615384615385,D,2000,151,1,0.7333333333333333,0.0958904109589041,0.13725490196078433,0.13291139240506328,0.1544885177453027,0.552,0.26666666666666666,0.09523809523809523,0.038461538461538464,0.06521739130434782,0,0,0,no
60909,"Bill Cass",0.14285714285714285,USA,0.2857142857142857,0.27884615384615385,D,2000,153,0.38095238095238093,0.45555555555555555,0.0136986301369863,0.0784313725490196,0.056962025316455694,0.054279749478079335,0.56,0,0,0,0,0,0,0,no
60914,"Sean Connolly",0.14285714285714285,USA,0.42857142857142855,0.21153846153846154,D,2000,158,0.43333333333333335,0.3888888888888889,0.0273972602739726,0.13725490196078433,0.10126582278481013,0.1336116910229645,0.552,0,0,0,0,0,0,0,no
60994,"Petr Chvojka",0,EURO,0.35714285714285715,0.4423076923076923,D,2000,182,0.1619047619047619,0.4222222222222222,0.0821917808219178,0.0784313725490196,0.08860759493670886,0.1524008350730689,0.64,0.03333333333333333,0,0,0,0,0,0,no
60997,"Jason Maleyko",0.14285714285714285,CAN,0.42857142857142855,0.19230769230769232,D,2000,188,1,0.7,0.0684931506849315,0.2647058823529412,0.20253164556962025,0.2254697286012526,0.544,0.2,0,0.15384615384615385,0.08695652173913043,0.06666666666666667,0,0,no
61168,"Chris Berti",0.07142857142857142,CAN,0.7142857142857143,0.5096153846153846,C,2000,204,0.5476190476190477,0.6888888888888889,0.1095890410958904,0.10784313725490197,0.12025316455696203,0.27348643006263046,0.584,0.23333333333333334,0.047619047619047616,0,0.021739130434782608,0.10833333333333334,0,0,no
61172,"John Eichelberger",0.07142857142857142,USA,0.5,0.23076923076923078,C,2000,210,0.21428571428571427,0.5444444444444444,0.2602739726027397,0.49019607843137253,0.43670886075949367,0.12108559498956159,0.552,0,0,0,0,0,0,0,no
61176,"Craig Olynick",0,CAN,0.42857142857142855,0.3557692307692308,D,2000,218,0.4142857142857143,0.7222222222222222,0.0136986301369863,0.08823529411764706,0.06329113924050633,0.25052192066805845,0.504,0.23333333333333334,0.047619047619047616,0,0.021739130434782608,0.14166666666666666,0,0,no
61185,"Danny Eberly",0.14285714285714285,USA,0.35714285714285715,0.2980769230769231,D,2000,238,1,0.23333333333333334,0.0273972602739726,0.049019607843137254,0.04430379746835443,0.016701461377870562,0.552,0,0,0,0,0,0,0,no
61186,"Evan Nielsen",0.07142857142857142,USA,0.5,0.38461538461538464,D,2000,242,0.3,0.45555555555555555,0.0547945205479452,0.09803921568627451,0.08860759493670886,0.1127348643006263,0.552,0,0,0,0,0,0,0,no
61187,"Eric Bowen",0.07142857142857142,USA,0.5714285714285714,0.49038461538461536,R,2000,244,1,0.7666666666666667,0.0273972602739726,0.049019607843137254,0.04430379746835443,0.38413361169102295,0.344,0,0,0,0,0,0,0,no
